ProgramName,Measures,Incentive,Performance
MCD-IPA,CCS-E,1,57.18
MCD-IPA,CCS-E,2,61.56
MCD-IPA,CCS-E,3,67.46
MCD-IPA,CISCMB10-E,1,27.49
MCD-IPA,CISCMB10-E,2,34.79
MCD-IPA,IMACMB2-E,1,34.30
MCD-IPA,IMACMB2-E,2,41.61
MCD-IPA,BCS-E,1,52.68
MCD-IPA,BCS-E,2,59.51
MCD-IPA,WCV,2,51.81
MCD-IPA,WCV,3,58.07
MCD-IPA,GSD2,1,33.33
MCD-IPA,GSD2,2,29.93
MCD-IPA,CBP,1,64.48
MCD-IPA,CBP,2,69.37
MCD-IPA,CDEV,1,35.70
MCD-IPA,IHA,1,50.00
MCD-IPA,LSC ,1,63.84
MCD-IPA,PPC1,2,84.55
MCD-IPA,PPC1,3,88.58
MCD-IPA,PPC2,1,80.23
MCD-IPA,PPC2,2,83.33
MCD-IPA,TFL1,2,19.00
MCD-IPA,W30A,1,60.38
MCD-IPA,W30A,2,64.99
MCD-IPA,W30B,1,69.43
MCD-IPA,W30B,2,73.09
MCD-FQHC ,CCS-E,1,57.18
MCD-FQHC ,CCS-E,2,61.56
MCD-FQHC ,CCS-E,3,67.46
MCD-FQHC ,CISCMB10-E,1,27.49
MCD-FQHC ,CISCMB10-E,2,34.79
MCD-FQHC ,IMACMB2-E,1,34.30
MCD-FQHC ,IMACMB2-E,2,41.61
MCD-FQHC ,BCS-E,1,52.68
MCD-FQHC ,BCS-E,2,59.51
MCD-FQHC ,WCV,2,51.81
MCD-FQHC ,WCV,3,58.07
MCD-FQHC ,GSD2,1,33.33
MCD-FQHC ,GSD2,2,29.93
MCD-FQHC ,CBP,1,64.48
MCD-FQHC ,CBP,2,69.37
MCD-FQHC ,CDEV,1,35.70
MCD-FQHC ,IHA,1,50.00
MCD-FQHC ,LSC ,1,63.84
MCD-FQHC ,PPC1,2,84.55
MCD-FQHC ,PPC1,3,88.58
MCD-FQHC ,PPC2,1,80.23
MCD-FQHC ,PPC2,2,83.33
MCD-FQHC ,TFL1,2,19.00
MCD-FQHC ,W30A,1,60.38
MCD-FQHC ,W30A,2,64.99
MCD-FQHC ,W30B,1,69.43
MCD-FQHC ,W30B,2,73.09
MCD-IPA-FQHC ,CCS-E,1,57.18
MCD-IPA-FQHC ,CCS-E,2,61.56
MCD-IPA-FQHC ,CCS-E,3,67.46
MCD-IPA-FQHC ,CISCMB10-E,1,27.49
MCD-IPA-FQHC ,CISCMB10-E,2,34.79
MCD-IPA-FQHC ,IMACMB2-E,1,34.30
MCD-IPA-FQHC ,IMACMB2-E,2,41.61
MCD-IPA-FQHC ,BCS-E,1,52.68
MCD-IPA-FQHC ,BCS-E,2,59.51
MCD-IPA-FQHC ,WCV,2,51.81
MCD-IPA-FQHC ,WCV,3,58.07
MCD-IPA-FQHC ,GSD2,1,33.33
MCD-IPA-FQHC ,GSD2,2,29.93
MCD-IPA-FQHC ,CBP,1,64.48
MCD-IPA-FQHC ,CBP,2,69.37
MCD-IPA-FQHC ,CDEV,1,35.70
MCD-IPA-FQHC ,IHA,1,50.00
MCD-IPA-FQHC ,LSC ,1,63.84
MCD-IPA-FQHC ,PPC1,2,84.55
MCD-IPA-FQHC ,PPC1,3,88.58
MCD-IPA-FQHC ,PPC2,1,80.23
MCD-IPA-FQHC ,PPC2,2,83.33
MCD-IPA-FQHC ,TFL1,2,19.00
MCD-IPA-FQHC ,W30A,1,60.38
MCD-IPA-FQHC ,W30A,2,64.99
MCD-IPA-FQHC ,W30B,1,69.43
MCD-IPA-FQHC ,W30B,2,73.09
MRPL-IPA-FQHC ,CCS-E,1,65.94
MRPL-IPA-FQHC ,CISCMB10-E,1,62.45
MRPL-IPA-FQHC ,CISCMB10-E,2,68.31
MRPL-IPA-FQHC ,AWV,1,35.00
MRPL-IPA-FQHC ,BCS-E,1,65.00
MRPL-IPA-FQHC ,COL-E,1,47.00
MRPL-IPA-FQHC ,COL-E,2,64.23
MRPL-IPA-FQHC ,GSD2,1,48.00
MRPL-IPA-FQHC ,GSD2,2,36.67
MRPL-IPA-FQHC ,CBP,1,54.00
MRPL-IPA-FQHC ,CBP,2,67.84
MRPL-IPA-FQHC ,WCCB,0.5,48.42
MRPL-IPA-FQHC ,WCCC,0.5,44.05
