ProgramName,Measures,Incentive,Performance
MCD-IPA,CCS,1,57.11
MCD-IPA,CCS,2,61.8
MCD-IPA,CCS,3,66.48
MCD-IPA,CISCMB10,1,30.9
MCD-IPA,CISCMB10,2,37.64
MCD-IPA,IMACMB2,1,34.31
MCD-IPA,IMACMB2,2,40.88
MCD-IPA,BCS-E,1,52.6
MCD-IPA,BCS-E,2,57.48
MCD-IPA,WCV,2,48.07
MCD-IPA,WCV,3,55.08
MCD-IPA,GSD2,1,37.96
MCD-IPA,GSD2,2,33.45
MCD-IPA,CBP,1,61.31
MCD-IPA,CBP,2,67.27
MCD-IPA,CDEV,1,34.7
MCD-IPA,IHA,1,50
MCD-IPA,LSC ,1,62.79
MCD-IPA,PPC1,2,84.23
MCD-IPA,PPC1,3,88.33
MCD-IPA,PPC2,1,78.1
MCD-IPA,PPC2,2,82
MCD-IPA,TFL1,2,19.3
MCD-IPA,W30A,1,58.38
MCD-IPA,W30A,2,63.34
MCD-IPA,W30B,1,66.76
MCD-IPA,W30B,2,71.35
MCD-FQHC ,CCS,1,57.11
MCD-FQHC ,CCS,2,61.8
MCD-FQHC ,CCS,3,66.48
MCD-FQHC ,CISCMB10,1,30.9
MCD-FQHC ,CISCMB10,2,37.64
MCD-FQHC ,IMACMB2,1,34.31
MCD-FQHC ,IMACMB2,2,40.88
MCD-FQHC ,BCS-E,1,52.6
MCD-FQHC ,BCS-E,2,57.48
MCD-FQHC ,WCV,2,48.07
MCD-FQHC ,WCV,3,55.08
MCD-FQHC ,GSD2,1,37.96
MCD-FQHC ,GSD2,2,33.45
MCD-FQHC ,CBP,1,61.31
MCD-FQHC ,CBP,2,67.27
MCD-FQHC ,CDEV,1,34.7
MCD-FQHC ,IHA,1,50
MCD-FQHC ,LSC ,1,62.79
MCD-FQHC ,PPC1,2,84.23
MCD-FQHC ,PPC1,3,88.33
MCD-FQHC ,PPC2,1,78.1
MCD-FQHC ,PPC2,2,82
MCD-FQHC ,TFL1,2,19.3
MCD-FQHC ,W30A,1,58.38
MCD-FQHC ,W30A,2,63.34
MCD-FQHC ,W30B,1,66.76
MCD-FQHC ,W30B,2,71.35
MCD-IPA-FQHC ,CCS,1,57.11
MCD-IPA-FQHC ,CCS,2,61.8
MCD-IPA-FQHC ,CCS,3,66.48
MCD-IPA-FQHC ,CISCMB10,1,30.9
MCD-IPA-FQHC ,CISCMB10,2,37.64
MCD-IPA-FQHC ,IMACMB2,1,34.31
MCD-IPA-FQHC ,IMACMB2,2,40.88
MCD-IPA-FQHC ,BCS-E,1,52.6
MCD-IPA-FQHC ,BCS-E,2,57.48
MCD-IPA-FQHC ,WCV,2,48.07
MCD-IPA-FQHC ,WCV,3,55.08
MCD-IPA-FQHC ,GSD2,1,37.96
MCD-IPA-FQHC ,GSD2,2,33.45
MCD-IPA-FQHC ,CBP,1,61.31
MCD-IPA-FQHC ,CBP,2,67.27
MCD-IPA-FQHC ,CDEV,1,34.7
MCD-IPA-FQHC ,IHA,1,50
MCD-IPA-FQHC ,LSC ,1,62.79
MCD-IPA-FQHC ,PPC1,2,84.23
MCD-IPA-FQHC ,PPC1,3,88.33
MCD-IPA-FQHC ,PPC2,1,78.1
MCD-IPA-FQHC ,PPC2,2,82
MCD-IPA-FQHC ,TFL1,2,19.3
MCD-IPA-FQHC ,W30A,1,58.38
MCD-IPA-FQHC ,W30A,2,63.34
MCD-IPA-FQHC ,W30B,1,66.76
MCD-IPA-FQHC ,W30B,2,71.35
MRPL-IPA-FQHC ,CCS,1,65.94
MRPL-IPA-FQHC ,CISCMB10,1,62.45
MRPL-IPA-FQHC ,CISCMB10,2,68.31
MRPL-IPA-FQHC ,AWV,1,35
MRPL-IPA-FQHC ,BCS-E,1,65
MRPL-IPA-FQHC ,COL-E,1,47
MRPL-IPA-FQHC ,COL-E,2,64.23
MRPL-IPA-FQHC ,GSD2,1,48
MRPL-IPA-FQHC ,GSD2,2,36.67
MRPL-IPA-FQHC ,CBP,1,54
MRPL-IPA-FQHC ,CBP,2,67.84
MRPL-IPA-FQHC ,WCCB,0.5,48.42
MRPL-IPA-FQHC ,WCCC,0.5,44.05
